,ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Joined,Contract Valid Until,Height,Weight,Release Clause,Kit Number,Age Groups
0,209658,L. Goretzka,27,Germany,87,88,FC Bayern München,91000000,115000,2312,Right,4,4,3,High/ Medium,Unique,Substitute,2018-07-01,2026,189cm,82kg,157000000,8.0,Adult
1,212198,Bruno Fernandes,27,Portugal,86,87,Manchester United,78500000,190000,2305,Right,3,3,4,High/ High,Unique,Left Central Midfielder,2020-01-30,2026,179cm,69kg,155000000,8.0,Adult
2,224334,M. Acuña,30,Argentina,85,85,Sevilla FC,46500000,46000,2303,Left,2,3,3,High/ High,Stocky (170-185),Left Back,2020-09-14,2024,172cm,69kg,97700000,19.0,Adult
3,192985,K. De Bruyne,31,Belgium,91,91,Manchester City,107500000,350000,2303,Right,4,5,4,High/ High,Unique,Right Central Midfielder,2015-08-30,2025,181cm,70kg,198900000,17.0,Senior
4,224232,N. Barella,25,Italy,86,89,Inter,89500000,110000,2296,Right,3,3,3,High/ High,Normal (170-),Right Central Midfielder,2020-09-01,2026,172cm,68kg,154400000,23.0,Adult
5,212622,J. Kimmich,27,Germany,89,90,FC Bayern München,105500000,130000,2283,Right,4,4,3,High/ Medium,Normal (170-185),Right Defensive Midfielder,2015-07-01,2025,177cm,75kg,182000000,6.0,Adult
6,197445,D. Alaba,30,Austria,86,86,Real Madrid CF,55500000,220000,2277,Left,4,4,3,Medium/ Medium,Normal (170-185),Left Center Back,2021-07-01,2026,180cm,78kg,113800000,4.0,Adult
7,187961,22 Paulinho,32,Brazil,83,83,Al Ahli,28500000,61000,2273,Right,3,4,4,High/ High,Normal (170-185),Left Central Midfielder,2021-07-22,2024,183cm,80kg,48500000,15.0,Senior
8,208333,E. Can,28,Germany,82,82,Borussia Dortmund,30500000,63000,2271,Right,3,4,3,Medium/ High,Stocky (185+),Substitute,2020-02-18,2024,186cm,86kg,51900000,23.0,Adult
9,210514,João Cancelo,28,Portugal,88,88,Manchester City,82500000,250000,2262,Right,3,4,4,High/ Medium,Unique,Left Back,2019-08-07,2027,182cm,74kg,152600000,7.0,Adult
10,228251,L. Pellegrini,26,Italy,84,87,Roma,55000000,95000,2258,Right,2,4,3,High/ High,Lean (185+),Right Central Midfielder,2017-07-01,2026,186cm,77kg,97600000,7.0,Adult
11,177003,L. Modrić,36,Croatia,88,88,Real Madrid CF,29000000,230000,2257,Right,4,4,4,Medium/ Medium,Lean (170-185),Right Central Midfielder,2012-08-01,2023,172cm,66kg,59500000,10.0,Senior
12,223848,S. Milinković-Savić,27,Serbia,86,87,Lazio,77500000,90000,2250,Right,3,5,4,High/ Medium,Normal (185+),Right Central Midfielder,2015-08-06,2024,191cm,76kg,137600000,21.0,Adult
13,225193,Merino,26,Spain,83,86,Real Sociedad,47000000,49000,2247,Left,1,3,3,High/ High,Normal (185+),Left Central Midfielder,2018-07-12,2025,189cm,83kg,102200000,8.0,Adult
14,226161,Marcos Llorente,27,Spain,84,85,Atlético de Madrid,48000000,81000,2244,Right,3,4,3,High/ Medium,Lean (170-185),Right Central Midfielder,2019-07-01,2027,184cm,74kg,102000000,14.0,Adult
